Datum;Uhrzeit;8:00 Uhr Prognose [MW];Online Hochrechnung [MW]
01.01.2016;13:00 - 13:15;298;55
01.01.2016;13:15 - 13:30;315;43
01.01.2016;13:30 - 13:45;326;38
01.01.2016;13:45 - 14:00;333;45
01.01.2016;14:00 - 14:15;308;54
01.01.2016;14:15 - 14:30;322;62
01.01.2016;14:30 - 14:45;362;68
01.01.2016;14:45 - 15:00;383;92
01.01.2016;15:00 - 15:15;385;129
01.01.2016;15:15 - 15:30;416;162
01.01.2016;15:30 - 15:45;466;188
01.01.2016;15:45 - 16:00;509;221
01.01.2016;16:00 - 16:15;549;270
01.01.2016;16:15 - 16:30;596;341
01.01.2016;16:30 - 16:45;648;455
01.01.2016;16:45 - 17:00;702;602
01.01.2016;17:00 - 17:15;746;716
01.01.2016;17:15 - 17:30;780;833
01.01.2016;17:30 - 17:45;826;986
01.01.2016;17:45 - 18:00;861;1094
01.01.2016;18:00 - 18:15;892;1192
01.01.2016;18:15 - 18:30;922;1281
01.01.2016;18:30 - 18:45;964;1329
01.01.2016;18:45 - 19:00;1010;1444
01.01.2016;19:00 - 19:15;1092;1603
01.01.2016;19:15 - 19:30;1131;1766
01.01.2016;19:30 - 19:45;1221;1970
01.01.2016;19:45 - 20:00;1314;2094
01.01.2016;20:00 - 20:15;1392;2185
01.01.2016;20:15 - 20:30;1474;2209
01.01.2016;20:30 - 20:45;1557;2152
01.01.2016;20:45 - 21:00;1640;2139
01.01.2016;21:00 - 21:15;1727;2203
01.01.2016;21:15 - 21:30;1786;2267
01.01.2016;21:30 - 21:45;1869;2326
01.01.2016;21:45 - 22:00;1962;2320
01.01.2016;22:00 - 22:15;2014;2277
01.01.2016;22:15 - 22:30;2050;2307
01.01.2016;22:30 - 22:45;2072;2277
01.01.2016;22:45 - 23:00;2098;2260
01.01.2016;23:00 - 23:15;2099;2376
01.01.2016;23:15 - 23:30;2085;2454
01.01.2016;23:30 - 23:45;2060;2512
01.01.2016;23:45 - 00:00;2046;2506
02.01.2016;00:00 - 00:15;2228;2529
02.01.2016;00:15 - 00:30;2251;2598
02.01.2016;00:30 - 00:45;2265;2707
02.01.2016;00:45 - 01:00;2267;2754
02.01.2016;01:00 - 01:15;2269;2730
02.01.2016;01:15 - 01:30;2300;2754
02.01.2016;01:30 - 01:45;2318;2832
02.01.2016;01:45 - 02:00;2333;2830
02.01.2016;02:00 - 02:15;2339;2814
02.01.2016;02:15 - 02:30;2337;2890
02.01.2016;02:30 - 02:45;2334;2965
02.01.2016;02:45 - 03:00;2330;2943
02.01.2016;03:00 - 03:15;2319;2861
02.01.2016;03:15 - 03:30;2309;2816
02.01.2016;03:30 - 03:45;2339;2816
02.01.2016;03:45 - 04:00;2432;2780
02.01.2016;04:00 - 04:15;2516;2777
02.01.2016;04:15 - 04:30;2485;2756
02.01.2016;04:30 - 04:45;2493;2783
02.01.2016;04:45 - 05:00;2504;2772
02.01.2016;05:00 - 05:15;2452;2720
02.01.2016;05:15 - 05:30;2437;2731
02.01.2016;05:30 - 05:45;2421;2707
02.01.2016;05:45 - 06:00;2389;2685
02.01.2016;06:00 - 06:15;2334;2729
02.01.2016;06:15 - 06:30;2348;2753
02.01.2016;06:30 - 06:45;2384;2752
02.01.2016;06:45 - 07:00;2417;2739
02.01.2016;07:00 - 07:15;2427;2732
02.01.2016;07:15 - 07:30;2406;2720
02.01.2016;07:30 - 07:45;2370;2654
02.01.2016;07:45 - 08:00;2334;2607
02.01.2016;08:00 - 08:15;2312;2633
02.01.2016;08:15 - 08:30;2283;2618
02.01.2016;08:30 - 08:45;2270;2594
02.01.2016;08:45 - 09:00;2261;2581
02.01.2016;09:00 - 09:15;2272;2526
02.01.2016;09:15 - 09:30;2300;2459
02.01.2016;09:30 - 09:45;2330;2428
02.01.2016;09:45 - 10:00;2330;2405
02.01.2016;10:00 - 10:15;2344;2371
02.01.2016;10:15 - 10:30;2349;2281
02.01.2016;10:30 - 10:45;2352;2255
02.01.2016;10:45 - 11:00;2356;2216
02.01.2016;11:00 - 11:15;2327;2149
02.01.2016;11:15 - 11:30;2304;2128
02.01.2016;11:30 - 11:45;2311;2060
02.01.2016;11:45 - 12:00;2362;2036
02.01.2016;12:00 - 12:15;2362;1961
02.01.2016;12:15 - 12:30;2385;1883
02.01.2016;12:30 - 12:45;2388;1854
02.01.2016;12:45 - 13:00;2391;1839
02.01.2016;13:00 - 13:15;2378;1825
02.01.2016;13:15 - 13:30;2382;1766
02.01.2016;13:30 - 13:45;2373;1729
02.01.2016;13:45 - 14:00;2363;1677
02.01.2016;14:00 - 14:15;2369;1659
02.01.2016;14:15 - 14:30;2405;1657
02.01.2016;14:30 - 14:45;2452;1632
02.01.2016;14:45 - 15:00;2492;1611
02.01.2016;15:00 - 15:15;2524;1592
02.01.2016;15:15 - 15:30;2538;1574
02.01.2016;15:30 - 15:45;2485;1558
02.01.2016;15:45 - 16:00;2460;1558
02.01.2016;16:00 - 16:15;2421;1578
02.01.2016;16:15 - 16:30;2400;1611
02.01.2016;16:30 - 16:45;2372;1625
02.01.2016;16:45 - 17:00;2331;1701
02.01.2016;17:00 - 17:15;2303;1713
02.01.2016;17:15 - 17:30;2297;1715
02.01.2016;17:30 - 17:45;2315;1719
02.01.2016;17:45 - 18:00;2293;1780
02.01.2016;18:00 - 18:15;2270;1808
02.01.2016;18:15 - 18:30;2243;1783
02.01.2016;18:30 - 18:45;2194;1762
02.01.2016;18:45 - 19:00;2172;1767
02.01.2016;19:00 - 19:15;2169;1793
02.01.2016;19:15 - 19:30;2163;1788
02.01.2016;19:30 - 19:45;2180;1801
02.01.2016;19:45 - 20:00;2219;1761
02.01.2016;20:00 - 20:15;2254;1781
02.01.2016;20:15 - 20:30;2247;1823
02.01.2016;20:30 - 20:45;2212;1842
02.01.2016;20:45 - 21:00;2204;1886
02.01.2016;21:00 - 21:15;2198;1935
02.01.2016;21:15 - 21:30;2181;1921
02.01.2016;21:30 - 21:45;2207;1888
02.01.2016;21:45 - 22:00;2234;1895
02.01.2016;22:00 - 22:15;2277;1858
02.01.2016;22:15 - 22:30;2257;1873
02.01.2016;22:30 - 22:45;2210;1884
02.01.2016;22:45 - 23:00;2200;1865
02.01.2016;23:00 - 23:15;2178;1831
02.01.2016;23:15 - 23:30;2126;1839
02.01.2016;23:30 - 23:45;2113;1813
02.01.2016;23:45 - 00:00;2105;1843
03.01.2016;00:00 - 00:15;1913;1834
03.01.2016;00:15 - 00:30;1902;1824
03.01.2016;00:30 - 00:45;1936;1810
03.01.2016;00:45 - 01:00;1954;1796
03.01.2016;01:00 - 01:15;1941;1746
03.01.2016;01:15 - 01:30;1949;1782
03.01.2016;01:30 - 01:45;1932;1779
03.01.2016;01:45 - 02:00;1930;1770
03.01.2016;02:00 - 02:15;1959;1764
03.01.2016;02:15 - 02:30;1932;1804
03.01.2016;02:30 - 02:45;1925;1811
03.01.2016;02:45 - 03:00;1900;1793
03.01.2016;03:00 - 03:15;1865;1733
03.01.2016;03:15 - 03:30;1873;1707
03.01.2016;03:30 - 03:45;1887;1709
03.01.2016;03:45 - 04:00;1915;1723
03.01.2016;04:00 - 04:15;1959;1731
03.01.2016;04:15 - 04:30;1967;1702
03.01.2016;04:30 - 04:45;1965;1716
03.01.2016;04:45 - 05:00;1971;1752
03.01.2016;05:00 - 05:15;1970;1779
03.01.2016;05:15 - 05:30;1969;1826
03.01.2016;05:30 - 05:45;1976;1864
03.01.2016;05:45 - 06:00;1984;1858
03.01.2016;06:00 - 06:15;1988;1893
03.01.2016;06:15 - 06:30;2000;1857
03.01.2016;06:30 - 06:45;2000;1850
03.01.2016;06:45 - 07:00;2025;1829
03.01.2016;07:00 - 07:15;2034;1839
03.01.2016;07:15 - 07:30;2022;1843
03.01.2016;07:30 - 07:45;1997;1825
03.01.2016;07:45 - 08:00;1975;1760
03.01.2016;08:00 - 08:15;1967;1735
03.01.2016;08:15 - 08:30;1985;1703
03.01.2016;08:30 - 08:45;1995;1674
03.01.2016;08:45 - 09:00;2006;1631
03.01.2016;09:00 - 09:15;2010;1659
03.01.2016;09:15 - 09:30;2003;1692
03.01.2016;09:30 - 09:45;2018;1629
03.01.2016;09:45 - 10:00;2031;1611
03.01.2016;10:00 - 10:15;2041;1598
03.01.2016;10:15 - 10:30;2046;1614
03.01.2016;10:30 - 10:45;2050;1593
03.01.2016;10:45 - 11:00;2034;1539
03.01.2016;11:00 - 11:15;2016;1525
03.01.2016;11:15 - 11:30;1979;1467
03.01.2016;11:30 - 11:45;1944;1392
03.01.2016;11:45 - 12:00;1899;1369
03.01.2016;12:00 - 12:15;1861;1343
03.01.2016;12:15 - 12:30;1830;1277
03.01.2016;12:30 - 12:45;1792;1232
03.01.2016;12:45 - 13:00;1757;1159
03.01.2016;13:00 - 13:15;1742;1102
03.01.2016;13:15 - 13:30;1702;1142
03.01.2016;13:30 - 13:45;1651;1150
03.01.2016;13:45 - 14:00;1614;1161
03.01.2016;14:00 - 14:15;1620;1203
03.01.2016;14:15 - 14:30;1595;1182
03.01.2016;14:30 - 14:45;1565;1205
03.01.2016;14:45 - 15:00;1545;1222
03.01.2016;15:00 - 15:15;1573;1241
03.01.2016;15:15 - 15:30;1559;1269
03.01.2016;15:30 - 15:45;1542;1239
03.01.2016;15:45 - 16:00;1525;1283
03.01.2016;16:00 - 16:15;1589;1336
03.01.2016;16:15 - 16:30;1613;1419
03.01.2016;16:30 - 16:45;1656;1479
03.01.2016;16:45 - 17:00;1691;1585
03.01.2016;17:00 - 17:15;1732;1679
03.01.2016;17:15 - 17:30;1761;1797
03.01.2016;17:30 - 17:45;1817;1890
03.01.2016;17:45 - 18:00;1855;2059
03.01.2016;18:00 - 18:15;1909;2175
03.01.2016;18:15 - 18:30;1969;2313
03.01.2016;18:30 - 18:45;2040;2378
03.01.2016;18:45 - 19:00;2098;2497
03.01.2016;19:00 - 19:15;2157;2638
03.01.2016;19:15 - 19:30;2173;2764
03.01.2016;19:30 - 19:45;2247;2862
03.01.2016;19:45 - 20:00;2303;2971
03.01.2016;20:00 - 20:15;2356;3014
03.01.2016;20:15 - 20:30;2348;3065
03.01.2016;20:30 - 20:45;2379;3113
03.01.2016;20:45 - 21:00;2376;3121
03.01.2016;21:00 - 21:15;2393;3114
03.01.2016;21:15 - 21:30;2404;3172
03.01.2016;21:30 - 21:45;2435;3165
03.01.2016;21:45 - 22:00;2472;3157
03.01.2016;22:00 - 22:15;2501;3111
03.01.2016;22:15 - 22:30;2538;3108
03.01.2016;22:30 - 22:45;2591;3087
03.01.2016;22:45 - 23:00;2640;3065
03.01.2016;23:00 - 23:15;2666;3036
03.01.2016;23:15 - 23:30;2653;2975
03.01.2016;23:30 - 23:45;2579;2948
03.01.2016;23:45 - 00:00;2507;2885
04.01.2016;00:00 - 00:15;2713;2839
04.01.2016;00:15 - 00:30;2691;2832
04.01.2016;00:30 - 00:45;2623;2826
04.01.2016;00:45 - 01:00;2613;2773
04.01.2016;01:00 - 01:15;2633;2697
04.01.2016;01:15 - 01:30;2612;2646
04.01.2016;01:30 - 01:45;2577;2615
04.01.2016;01:45 - 02:00;2539;2561
04.01.2016;02:00 - 02:15;2556;2481
04.01.2016;02:15 - 02:30;2513;2414
04.01.2016;02:30 - 02:45;2415;2362
04.01.2016;02:45 - 03:00;2324;2318
04.01.2016;03:00 - 03:15;2261;2227
04.01.2016;03:15 - 03:30;2203;2150
04.01.2016;03:30 - 03:45;2128;2047
04.01.2016;03:45 - 04:00;2060;1976
04.01.2016;04:00 - 04:15;2008;1883
04.01.2016;04:15 - 04:30;1889;1786
04.01.2016;04:30 - 04:45;1821;1699
04.01.2016;04:45 - 05:00;1774;1636
04.01.2016;05:00 - 05:15;1732;1601
04.01.2016;05:15 - 05:30;1695;1509
04.01.2016;05:30 - 05:45;1653;1475
04.01.2016;05:45 - 06:00;1611;1459
04.01.2016;06:00 - 06:15;1597;1461
04.01.2016;06:15 - 06:30;1495;1460
04.01.2016;06:30 - 06:45;1484;1464
04.01.2016;06:45 - 07:00;1482;1480
04.01.2016;07:00 - 07:15;1498;1452
04.01.2016;07:15 - 07:30;1489;1457
04.01.2016;07:30 - 07:45;1476;1488
04.01.2016;07:45 - 08:00;1471;1511
04.01.2016;08:00 - 08:15;1512;1491
04.01.2016;08:15 - 08:30;1529;1520
04.01.2016;08:30 - 08:45;1549;1549
04.01.2016;08:45 - 09:00;1569;1588
04.01.2016;09:00 - 09:15;1579;1601
04.01.2016;09:15 - 09:30;1575;1595
04.01.2016;09:30 - 09:45;1562;1577
04.01.2016;09:45 - 10:00;1551;1561
04.01.2016;10:00 - 10:15;1543;1517
04.01.2016;10:15 - 10:30;1527;1509
04.01.2016;10:30 - 10:45;1476;1502
04.01.2016;10:45 - 11:00;1446;1454
04.01.2016;11:00 - 11:15;1429;1431
04.01.2016;11:15 - 11:30;1440;1386
04.01.2016;11:30 - 11:45;1465;1327
04.01.2016;11:45 - 12:00;1492;1332
04.01.2016;12:00 - 12:15;1478;1405
04.01.2016;12:15 - 12:30;1486;1481
04.01.2016;12:30 - 12:45;1455;1454
04.01.2016;12:45 - 13:00;1421;1413
04.01.2016;13:00 - 13:15;1358;1380
04.01.2016;13:15 - 13:30;1372;1348
04.01.2016;13:30 - 13:45;1393;1333
04.01.2016;13:45 - 14:00;1395;1314
04.01.2016;14:00 - 14:15;1344;1260
04.01.2016;14:15 - 14:30;1362;1271
04.01.2016;14:30 - 14:45;1304;1314
04.01.2016;14:45 - 15:00;1261;1360
04.01.2016;15:00 - 15:15;1209;1380
04.01.2016;15:15 - 15:30;1173;1351
04.01.2016;15:30 - 15:45;1150;1262
04.01.2016;15:45 - 16:00;1072;1265
04.01.2016;16:00 - 16:15;1058;1288
04.01.2016;16:15 - 16:30;1057;1329
04.01.2016;16:30 - 16:45;1049;1278
04.01.2016;16:45 - 17:00;1096;1292
04.01.2016;17:00 - 17:15;1094;1309
04.01.2016;17:15 - 17:30;1113;1308
04.01.2016;17:30 - 17:45;1126;1320
04.01.2016;17:45 - 18:00;1144;1315
04.01.2016;18:00 - 18:15;1161;1338
04.01.2016;18:15 - 18:30;1185;1362
04.01.2016;18:30 - 18:45;1217;1364
04.01.2016;18:45 - 19:00;1249;1394
04.01.2016;19:00 - 19:15;1241;1365
04.01.2016;19:15 - 19:30;1293;1396
04.01.2016;19:30 - 19:45;1330;1467
04.01.2016;19:45 - 20:00;1357;1541
04.01.2016;20:00 - 20:15;1339;1508
04.01.2016;20:15 - 20:30;1389;1438
04.01.2016;20:30 - 20:45;1419;1412
04.01.2016;20:45 - 21:00;1440;1405
04.01.2016;21:00 - 21:15;1400;1363
04.01.2016;21:15 - 21:30;1461;1305
04.01.2016;21:30 - 21:45;1492;1289
04.01.2016;21:45 - 22:00;1525;1304
04.01.2016;22:00 - 22:15;1533;1309
04.01.2016;22:15 - 22:30;1517;1341
04.01.2016;22:30 - 22:45;1490;1308
04.01.2016;22:45 - 23:00;1464;1212
04.01.2016;23:00 - 23:15;1452;1170
04.01.2016;23:15 - 23:30;1458;1158
04.01.2016;23:30 - 23:45;1470;1108
04.01.2016;23:45 - 00:00;1463;1071
05.01.2016;00:00 - 00:15;1697;1056
05.01.2016;00:15 - 00:30;1682;1003
05.01.2016;00:30 - 00:45;1644;930
05.01.2016;00:45 - 01:00;1614;930
05.01.2016;01:00 - 01:15;1597;913
05.01.2016;01:15 - 01:30;1579;939
05.01.2016;01:30 - 01:45;1585;928
05.01.2016;01:45 - 02:00;1570;904
05.01.2016;02:00 - 02:15;1590;844
05.01.2016;02:15 - 02:30;1610;821
05.01.2016;02:30 - 02:45;1598;787
05.01.2016;02:45 - 03:00;1581;748
05.01.2016;03:00 - 03:15;1572;720
05.01.2016;03:15 - 03:30;1564;672
05.01.2016;03:30 - 03:45;1531;637
05.01.2016;03:45 - 04:00;1491;655
05.01.2016;04:00 - 04:15;1514;689
05.01.2016;04:15 - 04:30;1517;746
05.01.2016;04:30 - 04:45;1461;772
05.01.2016;04:45 - 05:00;1448;764
05.01.2016;05:00 - 05:15;1418;753
05.01.2016;05:15 - 05:30;1394;749
05.01.2016;05:30 - 05:45;1394;744
05.01.2016;05:45 - 06:00;1372;732
05.01.2016;06:00 - 06:15;1379;708
05.01.2016;06:15 - 06:30;1371;693
05.01.2016;06:30 - 06:45;1357;718
05.01.2016;06:45 - 07:00;1371;739
05.01.2016;07:00 - 07:15;1372;759
05.01.2016;07:15 - 07:30;1373;772
05.01.2016;07:30 - 07:45;1394;815
05.01.2016;07:45 - 08:00;1407;797
05.01.2016;08:00 - 08:15;1433;749
05.01.2016;08:15 - 08:30;1428;720
05.01.2016;08:30 - 08:45;1430;749
05.01.2016;08:45 - 09:00;1421;784
05.01.2016;09:00 - 09:15;1419;831
05.01.2016;09:15 - 09:30;1423;845
05.01.2016;09:30 - 09:45;1450;835
05.01.2016;09:45 - 10:00;1446;858
05.01.2016;10:00 - 10:15;1426;878
05.01.2016;10:15 - 10:30;1437;905
05.01.2016;10:30 - 10:45;1460;916
05.01.2016;10:45 - 11:00;1492;919
05.01.2016;11:00 - 11:15;1483;859
05.01.2016;11:15 - 11:30;1497;871
05.01.2016;11:30 - 11:45;1513;873
05.01.2016;11:45 - 12:00;1547;880
05.01.2016;12:00 - 12:15;1525;836
05.01.2016;12:15 - 12:30;1542;814
05.01.2016;12:30 - 12:45;1552;798
05.01.2016;12:45 - 13:00;1532;800
05.01.2016;13:00 - 13:15;1510;772
05.01.2016;13:15 - 13:30;1503;751
05.01.2016;13:30 - 13:45;1489;769
05.01.2016;13:45 - 14:00;1428;765
05.01.2016;14:00 - 14:15;1423;766
05.01.2016;14:15 - 14:30;1417;743
05.01.2016;14:30 - 14:45;1414;697
05.01.2016;14:45 - 15:00;1402;652
05.01.2016;15:00 - 15:15;1411;676
05.01.2016;15:15 - 15:30;1397;675
05.01.2016;15:30 - 15:45;1371;651
05.01.2016;15:45 - 16:00;1302;687
05.01.2016;16:00 - 16:15;1287;742
05.01.2016;16:15 - 16:30;1282;786
05.01.2016;16:30 - 16:45;1278;761
05.01.2016;16:45 - 17:00;1276;766
05.01.2016;17:00 - 17:15;1275;820
05.01.2016;17:15 - 17:30;1272;803
05.01.2016;17:30 - 17:45;1264;754
05.01.2016;17:45 - 18:00;1259;749
05.01.2016;18:00 - 18:15;1256;774
05.01.2016;18:15 - 18:30;1250;808
05.01.2016;18:30 - 18:45;1222;859
05.01.2016;18:45 - 19:00;1216;865
05.01.2016;19:00 - 19:15;1213;814
05.01.2016;19:15 - 19:30;1217;767
05.01.2016;19:30 - 19:45;1228;721
05.01.2016;19:45 - 20:00;1237;710
05.01.2016;20:00 - 20:15;1241;717
05.01.2016;20:15 - 20:30;1245;733
05.01.2016;20:30 - 20:45;1245;690
05.01.2016;20:45 - 21:00;1250;680
05.01.2016;21:00 - 21:15;1250;719
05.01.2016;21:15 - 21:30;1248;707
05.01.2016;21:30 - 21:45;1244;680
05.01.2016;21:45 - 22:00;1250;692
05.01.2016;22:00 - 22:15;1253;717
05.01.2016;22:15 - 22:30;1254;733
05.01.2016;22:30 - 22:45;1250;737
05.01.2016;22:45 - 23:00;1247;756
05.01.2016;23:00 - 23:15;1245;751
05.01.2016;23:15 - 23:30;1233;712
05.01.2016;23:30 - 23:45;1205;708
05.01.2016;23:45 - 00:00;1173;700
06.01.2016;00:00 - 00:15;1180;688
06.01.2016;00:15 - 00:30;1165;688
06.01.2016;00:30 - 00:45;1136;673
06.01.2016;00:45 - 01:00;1125;677
06.01.2016;01:00 - 01:15;1103;669
06.01.2016;01:15 - 01:30;1095;683
06.01.2016;01:30 - 01:45;1094;664
06.01.2016;01:45 - 02:00;1122;651
06.01.2016;02:00 - 02:15;1114;618
06.01.2016;02:15 - 02:30;1089;612
06.01.2016;02:30 - 02:45;1047;590
06.01.2016;02:45 - 03:00;1010;595
06.01.2016;03:00 - 03:15;992;581
06.01.2016;03:15 - 03:30;1002;573
06.01.2016;03:30 - 03:45;986;568
06.01.2016;03:45 - 04:00;977;540
06.01.2016;04:00 - 04:15;1015;534
06.01.2016;04:15 - 04:30;1005;553
06.01.2016;04:30 - 04:45;981;554
06.01.2016;04:45 - 05:00;981;555
06.01.2016;05:00 - 05:15;977;538
06.01.2016;05:15 - 05:30;971;522
06.01.2016;05:30 - 05:45;934;481
06.01.2016;05:45 - 06:00;898;450
06.01.2016;06:00 - 06:15;900;448
06.01.2016;06:15 - 06:30;898;433
06.01.2016;06:30 - 06:45;886;442
06.01.2016;06:45 - 07:00;874;432
06.01.2016;07:00 - 07:15;866;432
06.01.2016;07:15 - 07:30;857;439
06.01.2016;07:30 - 07:45;850;432
06.01.2016;07:45 - 08:00;837;399
06.01.2016;08:00 - 08:15;830;390
06.01.2016;08:15 - 08:30;821;412
06.01.2016;08:30 - 08:45;813;398
06.01.2016;08:45 - 09:00;812;394
06.01.2016;09:00 - 09:15;810;368
06.01.2016;09:15 - 09:30;788;350
06.01.2016;09:30 - 09:45;761;330
06.01.2016;09:45 - 10:00;730;325
06.01.2016;10:00 - 10:15;711;298
06.01.2016;10:15 - 10:30;710;303
06.01.2016;10:30 - 10:45;722;279
06.01.2016;10:45 - 11:00;735;263
06.01.2016;11:00 - 11:15;735;239
06.01.2016;11:15 - 11:30;728;224
06.01.2016;11:30 - 11:45;733;212
06.01.2016;11:45 - 12:00;721;199
06.01.2016;12:00 - 12:15;701;186
06.01.2016;12:15 - 12:30;694;169
06.01.2016;12:30 - 12:45;692;156
06.01.2016;12:45 - 13:00;679;137
06.01.2016;13:00 - 13:15;661;131
06.01.2016;13:15 - 13:30;649;130
06.01.2016;13:30 - 13:45;608;134
06.01.2016;13:45 - 14:00;584;133
06.01.2016;14:00 - 14:15;579;133
06.01.2016;14:15 - 14:30;583;129
06.01.2016;14:30 - 14:45;591;127
06.01.2016;14:45 - 15:00;596;131
06.01.2016;15:00 - 15:15;602;137
06.01.2016;15:15 - 15:30;611;145
06.01.2016;15:30 - 15:45;624;152
06.01.2016;15:45 - 16:00;636;154
06.01.2016;16:00 - 16:15;645;167
06.01.2016;16:15 - 16:30;652;174
06.01.2016;16:30 - 16:45;662;180
06.01.2016;16:45 - 17:00;664;181
06.01.2016;17:00 - 17:15;659;190
06.01.2016;17:15 - 17:30;664;185
06.01.2016;17:30 - 17:45;664;193
06.01.2016;17:45 - 18:00;670;195
06.01.2016;18:00 - 18:15;674;194
06.01.2016;18:15 - 18:30;681;205
06.01.2016;18:30 - 18:45;699;215
06.01.2016;18:45 - 19:00;722;229
06.01.2016;19:00 - 19:15;716;248
06.01.2016;19:15 - 19:30;736;254
06.01.2016;19:30 - 19:45;731;273
06.01.2016;19:45 - 20:00;721;294
06.01.2016;20:00 - 20:15;723;305
06.01.2016;20:15 - 20:30;750;345
06.01.2016;20:30 - 20:45;748;368
06.01.2016;20:45 - 21:00;748;369
06.01.2016;21:00 - 21:15;752;385
06.01.2016;21:15 - 21:30;769;381
06.01.2016;21:30 - 21:45;756;391
06.01.2016;21:45 - 22:00;773;385
06.01.2016;22:00 - 22:15;787;394
06.01.2016;22:15 - 22:30;812;401
06.01.2016;22:30 - 22:45;841;393
06.01.2016;22:45 - 23:00;838;406
06.01.2016;23:00 - 23:15;845;429
06.01.2016;23:15 - 23:30;848;471
06.01.2016;23:30 - 23:45;837;525
06.01.2016;23:45 - 00:00;836;578
07.01.2016;00:00 - 00:15;987;610
07.01.2016;00:15 - 00:30;980;603
07.01.2016;00:30 - 00:45;975;617
07.01.2016;00:45 - 01:00;947;626
07.01.2016;01:00 - 01:15;948;660
07.01.2016;01:15 - 01:30;952;688
07.01.2016;01:30 - 01:45;971;680
07.01.2016;01:45 - 02:00;1005;666
07.01.2016;02:00 - 02:15;1033;667
07.01.2016;02:15 - 02:30;1032;662
07.01.2016;02:30 - 02:45;1050;679
07.01.2016;02:45 - 03:00;1054;714
07.01.2016;03:00 - 03:15;1065;727
07.01.2016;03:15 - 03:30;1081;725
07.01.2016;03:30 - 03:45;1114;755
07.01.2016;03:45 - 04:00;1150;765
07.01.2016;04:00 - 04:15;1191;778
07.01.2016;04:15 - 04:30;1201;813
07.01.2016;04:30 - 04:45;1219;903
07.01.2016;04:45 - 05:00;1247;976
07.01.2016;05:00 - 05:15;1264;1007
07.01.2016;05:15 - 05:30;1287;984
07.01.2016;05:30 - 05:45;1318;1012
07.01.2016;05:45 - 06:00;1362;1042
07.01.2016;06:00 - 06:15;1389;1095
07.01.2016;06:15 - 06:30;1421;1154
07.01.2016;06:30 - 06:45;1469;1232
07.01.2016;06:45 - 07:00;1532;1358
07.01.2016;07:00 - 07:15;1570;1466
07.01.2016;07:15 - 07:30;1612;1663
07.01.2016;07:30 - 07:45;1691;1737
07.01.2016;07:45 - 08:00;1757;1835
07.01.2016;08:00 - 08:15;1795;1900
07.01.2016;08:15 - 08:30;1851;1845
07.01.2016;08:30 - 08:45;1930;1883
07.01.2016;08:45 - 09:00;2010;1969
07.01.2016;09:00 - 09:15;2074;2108
07.01.2016;09:15 - 09:30;2118;2317
07.01.2016;09:30 - 09:45;2171;2501
07.01.2016;09:45 - 10:00;2222;2621
07.01.2016;10:00 - 10:15;2257;2696
07.01.2016;10:15 - 10:30;2283;2627
07.01.2016;10:30 - 10:45;2304;2570
07.01.2016;10:45 - 11:00;2325;2468
07.01.2016;11:00 - 11:15;2325;2363
07.01.2016;11:15 - 11:30;2349;2289
